exp,perplexity,score,num_distinct_1grams,num_distinct_2grams,entropy_2grams,entropy_4grams,min_edit_distance,mean_edit_distance,max_edit_distance
beam_search_bs100_kpercand3,4.800113781137433,-1.5686396220365322,0.5985431798278311,0.6998454296183653,3.5874941315630817,3.204651243188205,2.16,5.323333333333334,7.17
clustering_beam_search_bs100_cbs5,4.64610711438351,-1.5360296892661593,0.5800363649612467,0.7085553076381521,3.6193617580607196,3.2340408055627528,2.08,5.315777777777778,7.42
diverse_beam_search_bs100_dbs0.8,7.831171921888687,-2.05811216954246,0.1725497885254116,0.20308213165611366,3.1596380462534355,3.185512719924312,1.21,11.818444444444447,26.79
iterative_beam_search_bs5_ibs100,11.412607400292758,-2.434718656636303,0.7302620528578807,0.766854416304227,3.6649568605014333,3.0883564451406937,3.31,5.218,6.45
random_sampling_temp0.5,51.3997093571738,-3.93963251791544,0.5712531127728568,0.7029032665587067,3.6541360402673124,3.341355692770763,2.55,5.722888888888889,8.46
random_sampling_temp0.7,35.79458174276836,-3.577796533985031,0.6350521061019849,0.7590469680558214,3.747029870693274,3.3085706276431845,3.06,5.866888888888889,8.34
random_sampling_temp1.0,63.97276727798434,-4.158457481522563,0.726306880789076,0.8097922579807632,3.858048568716817,3.3624872907982484,3.78,6.209555555555555,8.26
random_sampling_temp1.0_top100,10.378726331158198,-2.339758166081634,0.631656857589028,0.7636404409486589,3.738172191837452,3.2744931208557633,2.96,5.6611111111111105,7.68
standard_beam_search_bs100,4.63706001435872,-1.5340805478225987,0.5677347704231324,0.697765549347721,3.5858340041012666,3.214762894789248,1.97,5.169333333333334,7.16
standard_beam_search_bs100_npad0.3,4.707002040798004,-1.549051195985515,0.5583033194193792,0.6886582750005487,3.5694498492522255,3.227723298032,2.0,5.159111111111111,7.15
